Tweet ID,Screen Name,Number of Followers,Location,Tweet
1455233992857423875,Audi_Obsession,416,"Toronto, Ontario",b'Fall Vibes \xf0\x9f\x94\xa5\xf0\x9f\x8d\x81Audi R8 V10 \xf0\x9f\x98\x8d\n\xf0\x9f\x93\xb7 @senol.llgoy \xe2\x80\xa2 @mhbilfotograf https://t.co/MqcyL1hy9f https://t.co/oPW1FmjxXf'
1455233353037324290,connorwalters45,260,United Kingdom,b'TWIN TURBO AUDI R8!! 750HP PLUS!! DRIVE IT LIKE YOU STOLE IT FORZA HORIZ... https://t.co/eOkz8ph8nq via @YouTube'
1455226121755189254,ZAlMansourii,66,دار جابر 🕊🇰🇼,"b'A Relationship should be 50/50, \nhe buys me an Audi R8 &amp; I\xe2\x80\x99ll drive it \xf0\x9f\x99\x85\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\xa5\xb0'"
1455224583133401098,lovejoy_lyric,24,,b'Custom licence plate on our Audi R8'
1455222492994289671,cars_slot,5,,b'Carrera 30784 Digital &amp; Analog Audi R8 LMS Yaco #50 1/32 Scale Slot Car w/Lights https://t.co/yQGjweHcec eBay https://t.co/jUeWaNj2BR'
1455201597794000909,AnchorMcDaddy,2920,"Reach, Epsilon Eridani System","b'@ValiantPrudence Audi R8 is just nice to drive and look at, one of the cooler iterations was the Final Fantasy XV movie version'"
1455199457272909824,AnchorMcDaddy,2920,"Reach, Epsilon Eridani System","b""I'll probably be driving the Audi R8 like usual https://t.co/dDedyIaqaS"""
1455199417104011264,audisport,268770,Ingolstadt,"b'Victory and the @CIGranTurismo endurance title for @audisportitalia, another top step result for the Audi R8 LMS in\xe2\x80\xa6 https://t.co/ynyURLFvF7'"
1455193035646570500,BigBundaGaming,136,,b'@RiotPofa @catgirlcelia Nissan gtr or audi R8 are my dream cars. One day'
1455187710793158660,SAUnitedKingdom,290,,b'Black Wheel Spacers 15mm For Audi A6 A8 TT Q2 Q3 R8 + Alloy Radius Bolts 57\xc2\xa0#eBay\xf0\x9f\x87\xac\xf0\x9f\x87\xa7 https://t.co/hHZhpJyI3S'
1455173309415530504,republicansnark,121,,"b'@GPLapsJake @JimmyBroadbent Good ole days for WEC already happened (Audi era! R8 through R18, Peugeot, Porsche, Toy\xe2\x80\xa6 https://t.co/6W3YAhONxC'"
1455165236164677636,motorious_com,1266,"Charlotte, NC",b'Awesome Audi R8 V10 Coupe Ready For A New Owner To Push Its Limits\n\nhttps://t.co/4gWq3CU4lV'
1455152448679526402,Racecars_bot,1033,,b'One make RaceCar:2012 Audi R8 LMS Cup https://t.co/UindvudW8t'
1455135706871959552,CarHuntersUK,1297,Essex,"b""You guys LOVE the R8 stock we've currently got, so here's some more of the new V10 Plus we just took in \xf0\x9f\x91\x87\n\n\xf0\x9f\xa4\x94Looking\xe2\x80\xa6 https://t.co/z5sDYXvpEp"""
1455063462279671808,skarlapudi,67,earth,"b'@imVkohli \ninstead of giving gyan on deepavali, change ur cars\nAudi R8 LMX gives 6.7 kmpl\nso buy @Maruti_Corp Swift\xe2\x80\xa6 https://t.co/Fd6p6Gb3VX'"
1455049300728172546,eeeureee_,411,s avenue,b'AUDI R8 always on the list \xf0\x9f\x91\x8c\xf0\x9f\x91\x8c https://t.co/k1qk2c3I5U'
1455026632133992449,tuanies,1085,"University Place, WA","b""@Ohthatflo He didn't want to park next to the large amount of Audi R8's and Porsche 911's lol"""
1455021996744626176,15hxnnit_,818,"Pittsburgh, PA",b'Damn they may be discontinuing the whole dodge hellcat/srt lineup\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad camaro and mustang gt350 getting axed too. La\xe2\x80\xa6 https://t.co/qpwQk0MRef'
1455020997531340800,knarmeleon,33,,"b""@FIATDOOM @Kwebbelkop @WilderWorld Wow! That's actually a 2000 - 2005 Audi R8 LMP1 Le Mans racing car!"""
1455000936884027392,tuanies,1085,"University Place, WA",b'@AWJayRamey @DavidOfromNJ One of the best things about the PNW is the amount of oddball cars we have that are still\xe2\x80\xa6 https://t.co/pqN88P4AUj'
1454987830170570753,VehiclesDiecast,1,,b'Audi R8 LMS 1/18 Autoart On A Hand Painted Model Mount https://t.co/ymWTtBUK78 eBay https://t.co/jU2QUrbDUR'
1454981218387169282,Haas_is_me,14,,"b'@FaZeBlaze If u wanna buy a huracan or urus get a Audi R8 v10 or rsq8. Same car, different emblem for way cheaper.'"
1454957968500436993,connorwalters45,260,United Kingdom,b'TWIN TURBO AUDI R8!! 750HP PLUS!! DRIVE IT LIKE YOU STOLE IT FORZA HORIZ... https://t.co/eOkz8ph8nq via @YouTube'
