,Address,price,num_of_bedrooms,num_of_bathrooms,square_footage,Year Built,Times on Zillow,Number of Views
0,"15 Central Park W PENTHOUSE 41, New York, NY 10023","$45,000,000",4,4,"4,024",2007,598 days,"12,098"
1,"111 W 70th St APT 1-F, New York, NY 10023","$499,000",1,2,--,1910,119 days,"4,626"
2,"32 W 76th St, New York, NY 10023","$27,500,000",6,9,"10,635",1891,91 days,"5,286"
3,"200 Amsterdam Ave PENTHOUSE 2, New York, NY 10023","$38,000,000",4,5,"6,325",2021,159 days,"3,987"
4,"3 Riverside Dr, New York, NY 10023","$19,995,000",9,1,"19,251",1899,195 days,"5,897"
5,"171 W 73rd St APT 5, New York, NY 10023","$545,000",1,1,650,1910,N/A,N/A
6,"2109 Broadway APT 520, New York, NY 10023","$380,000",Studio,1,280,1902,N/A,N/A
7,"123 W 74th St APT 1A, New York, NY 10023","$429,000",1,1,--,1925,459 days,"3,717"
8,"336 W End Ave APT 4F, New York, NY 10023","$400,000",Studio,1,600,1931,N/A,N/A
9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,"28 W 69th St #PENTHOUSE, New York, NY 10023","$3,950,000",5,4,"2,500",1931,N/A,N/A
11,"145-146 Central Park W #2G, New York, NY 10023","$6,100,000",3,3,"2,650",1925,117 days,"1,272"
12,"112 W 72nd St #2AB, New York, NY 10023","$1,995,000",4,2,--,1930,152 days,942
13,"120 W 70th St APT 8A, New York, NY 10023","$2,249,000",3,2,"1,500",1905,N/A,N/A
14,"163 W 76th St, New York, NY 10023","$16,000,000",6,1,"8,009",1917,67 days,"2,493"
15,"50 Central Park W, New York, NY 10023","$21,900,000",5,7,"122,273",1910,204 days,"1,302"
16,"260 W End Ave #2/3E, New York, NY 10023","$1,695,000",3,2,--,1907,17 days,"1,942"
17,"200 Amsterdam Ave APT 27C, New York, NY 10023","$6,595,000",2,3,"2,092",1925,N/A,N/A
18,"350 W 71st St, New York, NY 10023","$2,800,000",3,3,"2,096",2021,N/A,N/A
19,N/A,N/A,N/A,N/A,N/A,2019,N/A,N/A
20,"46 W 65th St APT 5A, New York, NY 10023","$525,000",1,1,--,N/A,40 days,361
21,"65 Central Park W APT 4B, New York, NY 10023","$3,700,000",2,2,--,2019,11 days,480
22,"44 W 76th St APT 5, New York, NY 10023","$999,000",1,1,717,1910,N/A,N/A
23,"20 W 64th St #37EFG, New York, NY 10023","$7,495,000",5,6,"3,398",1929,N/A,N/A
24,"80 Central Park W #16FG, New York, NY 10023","$3,750,000",3,3,"1,843",1900,762 days,711
25,"200 Amsterdam Ave #46, New York, NY 10023","$17,900,000",3,5,"3,933",1969,168 days,585
26,"170 W End Ave APT 27R, New York, NY 10023","$585,000",Studio,1,--,1968,N/A,N/A
27,"327 W 76th St, New York, NY 10023","$11,995,000",5,7,"8,000",2021,N/A,N/A
28,"243 W 60th St APT 3A, New York, NY 10023","$2,295,000",3,3,"1,667",1961,124 days,402
29,N/A,N/A,N/A,N/A,N/A,1900,N/A,N/A
30,"2150 Broadway APT 7E, New York, NY 10023","$4,675,000",2,3,"1,737",2008,7 days,230
31,"101 Central Park W #17/18G, New York, NY 10023","$13,995,000",4,5,--,N/A,N/A,N/A
